,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
388,Ledaig 2006,53.4,70,175
389,Highland Park 12 Year Old,40,75,375
390,Highland Park 1989,46,70,250
391,Highland Park 12 Year Old,40,70,500
392,Highland Park 1967,40.3,75,"1,000"
393,Talisker 1947,45,75,"3,000"
394,Talisker 1955,53.6,70,"7,500"
395,Scapa 14 Year Old,40,100,299
396,Highland Park 1999,51.5,70,310
397,Jura 2008,46,70,59.95
398,Highland Park 12 Year Old,43,75,199
399,Laphroaig 30 Year Old,43,75,"3,250"
400,Highland Park 1977,57.3,70,700
401,Scapa 1974,50,70,"1,250"
402,Talisker 8 Year Old,45.8,75.7,"1,250"
403,Highland Park 25 Year Old,53.5,75,"2,000"
404,Isle Of Jura 10 Year Old,43,75,175
405,Isle of Jura 1966,50.6,70,"3,250"
406,Ledaig 1997,58.2,70,450
407,Scapa 14 Year Old,40,70,250
408,Scapa 10 Year Old,43,100,450
409,Kinclaith 1967,40,70,"1,200"
410,Isle of Jura 10 Year Old,40,75,175
411,Highland Park 1974,57,75,"1,500"
412,Orkney 2012,57.1,70,60.95
413,Scapa 12 Year Old,40,75,275
414,Scapa 12 Year Old,40,70,275
415,Ledaig 20 Year Old,43,75,275
416,Scapa 1991,54.9,70,650
417,Talisker 1964,57,75,"7,500"
418,Arran 23 Year Old Drumadoon Point,49.5,70,350
419,Highland Park 50 Year Old,43.8,70,"24,000"
420,Highland Park 1955,54.6,75,"4,000"
421,Jura 1988,50.2,70,399
422,Talisker Pure Malt Over 8 Year Old,45.7,75,"4,500"
423,Black Friday 2022,53.2,70,94.95
424,Bunnahabhain 12 Year Old Cask Strength,56.6,70,76.95
425,Lagavulin 16 Year Old,43,70,81.75
426,Port Charlotte 10 Year Old,50,70,47.75
427,Kilchoman Machir Bay,46,70,41.95
428,Octomore Edition 13.1,59.2,70,141
429,Laphroaig 16 Year Old,48,70,89.95
430,Caol Ila 2013,57.3,70,69.95
431,Ardbeg Uigeadail,54.2,70,62.75
432,Bruichladdich Black Art 10.1,45.1,70,395
433,Octomore Edition 13.3,61.1,70,186
434,Bunnahabhain 12 Year Old,46.3,70,44.95
435,Caol Ila 12 Year Old,43,70,46.95
436,Classic Malts Coastal Collection,44.9,60,37.75
437,Ardbeg 10 Year Old,46,70,45.95
