,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
394,Scapa 14 Year Old,40,70,250
395,Isle of Jura 27 Year Old,45,70,500
396,Isle of Jura 1973,55,70,"2,250"
397,Arran 1998,54.7,70,480
398,Ledaig 2006,53.4,70,175
399,Highland Park 12 Year Old,40,75,375
400,Highland Park 12 Year Old,40,70,500
401,Highland Park 1967,40.3,75,"1,000"
402,Talisker 1947,45,75,"3,000"
403,Talisker 1955,53.6,70,"7,500"
404,Scapa 14 Year Old,40,100,299
405,Highland Park 1999,51.5,70,310
406,Highland Park 12 Year Old,43,75,199
407,Laphroaig 30 Year Old,43,75,"3,250"
408,Highland Park 1977,57.3,70,700
409,Scapa 1974,50,70,"1,250"
410,Talisker 8 Year Old,45.8,75.7,"1,250"
411,Highland Park 25 Year Old,53.5,75,"2,000"
412,Isle Of Jura 10 Year Old,43,75,175
413,Isle of Jura 1966,50.6,70,"3,250"
414,Ledaig 1997,58.2,70,450
415,Scapa 14 Year Old,40,70,250
416,Scapa 10 Year Old,43,100,450
417,Kinclaith 1967,40,70,"1,200"
418,Isle of Jura 10 Year Old,40,75,175
419,Highland Park 1974,57,75,"1,500"
420,Ledaig 1995,48.4,70,299
421,Scapa 12 Year Old,40,75,275
422,Ledaig 20 Year Old,43,75,275
423,Scapa 1991,54.9,70,650
424,Lagavulin 16 Year Old,43,70,81.75
425,Bunnahabhain 12 Year Old Cask Strength,56.6,70,76.95
426,Port Charlotte 10 Year Old,50,70,52.75
427,Classic Malts Coastal Collection,44.9,60,43.95
428,Lagavulin 2006 Distillers Edition,43,70,105
429,Kilchoman Machir Bay,46,70,41.95
430,Kilchoman Sanaig,46,70,50.95
431,Ardbeg Uigeadail,54.2,70,62.75
432,Caol Ila 12 Year Old,43,70,46.95
433,Ardbeg 10 Year Old,46,70,45.95
434,Laphroaig 16 Year Old,48,70,89.95
435,Octomore Edition 13.1,59.2,70,141
436,Bruichladdich Black Art 10.1,45.1,70,395
437,Laphroaig 10 Year Old,40,70,39.95
438,Bunnahabhain 12 Year Old,46.3,70,44.95
439,Caol Ila 18 Year Old,43,70,98.95
440,Caol Ila 2013,57.3,70,69.95
441,Bunnahabhain 18 Year Old,46.3,70,128
442,Laphroaig Quarter Cask,48,70,42.45
443,Bowmore 15 Year Old,43,70,62.95
444,Smokehead Unfiltered,46,70,37.45
445,Lagavulin 9 Year Old,46,70,79.95
446,Laphroaig 10 Year Old,56.5,70,73.95
447,Personalised 10 Year Old Islay Scotch Whisky,52.6,70,79.95
448,Lagavulin 16 Year Old,43,70,81.75
449,Bunnahabhain 12 Year Old Cask Strength,56.6,70,76.95
450,Port Charlotte 10 Year Old,50,70,52.75
451,Classic Malts Coastal Collection,44.9,60,43.95
452,Lagavulin 2006 Distillers Edition,43,70,105
453,Kilchoman Machir Bay,46,70,41.95
454,Kilchoman Sanaig,46,70,50.95
455,Ardbeg Uigeadail,54.2,70,62.75
456,Caol Ila 12 Year Old,43,70,46.95
457,Ardbeg 10 Year Old,46,70,45.95
458,Laphroaig 16 Year Old,48,70,89.95
459,Octomore Edition 13.1,59.2,70,141
460,Bruichladdich Black Art 10.1,45.1,70,395
461,Laphroaig 10 Year Old,40,70,39.95
462,Bunnahabhain 12 Year Old,46.3,70,44.95
463,Caol Ila 18 Year Old,43,70,98.95
464,Caol Ila 2013,57.3,70,69.95
465,Bunnahabhain 18 Year Old,46.3,70,128
466,Laphroaig Quarter Cask,48,70,42.45
467,Bowmore 15 Year Old,43,70,62.95
468,Smokehead Unfiltered,46,70,37.45
469,Lagavulin 9 Year Old,46,70,79.95
470,Laphroaig 10 Year Old,56.5,70,73.95
471,Personalised 10 Year Old Islay Scotch Whisky,52.6,70,79.95
472,Laphroaig 10 Year Old Sherry Oak Finish,48,70,59.95
473,Ardbeg Wee Beastie,47.4,70,37.95
474,Bruichladdich Classic Laddie,50,70,45.45
475,Octomore Edition 13.3,61.1,70,186
476,Laphroaig 10 Year Old,58.6,70,73.95
477,Bunnahabhain Toiteach A Dha,46.3,70,46.45
478,Cask Islay,46,70,32.95
479,Bowmore Classic Collection,42,60,57.95
480,Bunnahabhain Moine 2013,59.5,70,84.95
481,Caol Ila 2014,59.1,70,62.95
482,Caol Ila 13 Year Old,43,70,47.95
483,Ardbeg An Oa,46.6,70,46.45
484,Bowmore 12 Year Old,40,70,35.95
485,Lagavulin 8 Year Old,48,70,59.95
486,Caol Ila Moch,43,70,56.95
487,Bruichladdich Islay Barley 2013,50,70,52.75
488,Port Askaig 100° Proof,57.1,70,55.75
489,Laphroaig PX Cask,48,100,99.95
490,Caol Ila 12 Year Old,43,20,18.45
491,Octomore 2009,54.3,70,185
492,Bruichladdich Bere Barley 2012,50,70,85.25
493,Bowmore No.1,40,70,29.95
494,Laphroaig Lore,48,70,67.95
495,Laphroaig Select,40,70,33.45
496,Ileach Peaty,40,70,28.95
497,Bunnahabhain Staoisha 2014,46,70,41.75
498,Mac-Talla Strata 15 Year Old,46,70,66.95
499,Smokehead High Voltage,58,70,57.95
500,Port Charlotte MC:01 2009,56.3,70,99.95
501,Lagavulin 2003 Distillers Edition,43,70,175
502,Finlaggan Old Reserve,40,70,34.95
503,Mac-Talla Terra Classic Islay,46,70,45.45
504,Bunnahabhain Toiteach A Dha,46.3,20,16.75
505,Port Askaig 8 Year Old,45.8,70,46.95
506,Bunnahabhain 12 Year Old,46.3,20,16.95
507,Lagavulin 10 Year Old,43,70,79.95
508,Bunnahabhain Abhainn Araig,50.8,70,94.95
509,Caol Ila 2010,56.5,70,99.95
510,Caol Ila 2012,46,70,48.45
511,Ardbeg 25 Year Old,46,70,850
512,Bowmore 10 Year Old,40,100,49.95
513,Bunnahabhain Stiuireadair,46.3,70,38.45
514,Ileach Cask Strength,58,70,43.95
515,Finlaggan Cask Strength Islay Malt,58,70,50.75
516,Bowmore 10 Year Old Aston Martin Edition,40,100,99.95
517,Port Charlotte 2012 SC:01,55.2,70,98.95
518,Cl14 - Elements of Islay,50.1,50,56.95
519,Bunnahabhain Aonadh 10 Year Old,56.2,70,110
520,Laphroaig 10 Year Old,57.9,70,79.95
521,Smokehead Rum Cask Rebel,46,70,53.95
522,Bunnahabhain 11 Year Old,43,70,47.95
523,Kilchoman Machir Bay Gift Pack,46,70,49.95
524,Finlaggan Eilean Mor,46,70,45.95
525,Bunnahabhain Eirigh Na Greine,46.3,100,70.95
526,Caol Ila 2013,46,70,46.95
527,Bruichladdich Organic 2011,50,70,75.25
528,Laphroaig Four Oak,40,100,64.95
529,Bunnahabhain 12 Year Old Cask Strength,55.1,70,84.95
530,Bunnahabhain 2001,54.3,70,150
531,Bunnahabhain Stiuireadair,46.3,20,13.95
532,Bunnahabhain An Cladach,50,100,59.95
533,Port Askaig 8 Year Old Glass Set,45.8,70,49.95
534,Bowmore Vault Edition First Release 'Atlantic Sea Salt',51.5,70,89.95
535,Finlaggan Original,40,70,31.95
536,Ardbeg The Three Monsters of Smoke Trio Pack,46.7,60,39.95
537,Angels’ Nectar Islay Edition,46,70,49.45
538,Bunnahabhain 30 Year Old,46.3,70,535
539,Caol Ila 18 Year Old,59.8,70,150
540,Bunnahabhain Cruach-Mhona,50,100,80.95
541,Bunnahabhain 2012,63.8,70,105
542,Bunnahabhain 2012,65.8,70,105
543,Bunnahabhain Staoisha 2013,56.7,70,68.95
544,Caol Ila 2010,54.6,70,115
545,Port Charlotte 2013 Islay Barley,50,70,68.95
546,Caol Ila 2007,55.6,70,84.95
547,Lagavulin 2005 Distillers Edition,43,70,150
548,Bruichladdich 1988,46.2,70,720
549,Kilchoman Sanaig,46,20,27.25
550,Lagavulin 12 Year Old,56.5,70,225
551,Lagavulin 1996 Distillers Edition,43,70,399
552,South Star Islay Single Malt 2013,48,70,47.95
553,Mac-Talla Mara Cask Strength,58.2,70,51.95
554,Laphroaig 10 Year Old,60.1,70,125
555,Bunnahabhain 10 Year Old,43,70,47.95
556,Bunnahabhain 1989,40.4,70,250
557,Kilchoman Machir Bay,46,20,21.95
558,Oc3 - Elements of Islay,60.3,50,150
559,Lagavulin 8 Year Old,48,70,110
560,Lagavulin 1999 Distillers Edition,43,70,299
561,Ardbeg Kildalton,46,70,425
562,Br5 - Elements of Islay,53.8,50,99.95
563,Ardbeg 1999 Galileo,49,70,500
564,Lagavulin 1995 Distillers Edition,43,70,399
565,Bunnahabhain 2007,48.4,70,132
566,Caol Ila 2010,57,70,108
567,Caol Ila 2010,46,70,68.95
568,Auchentoshan Three Wood,43,70,49.95
569,Glenkinchie 12 Year Old,43,70,41.95
570,Lindores Abbey MCDXCIV,46,70,45.95
571,Auchentoshan American Oak,40,70,24.95
572,Ailsa Bay Sweet Smoke,48.9,70,55.95
573,Lochlea Harvest Edition,46,70,49.95
574,Ailsa Bay Sweet Smoke,48.9,70,59.95
575,Bladnoch Vinaya,46.7,70,49.95
576,Glenkinchie 12 Year Old,43,20,16.95
